x,z,between,and
-598,-452,wall of tile 021200 (room 0x0c),door 0x1c650c (preset 0x0043)
-611,-463,wall of tile 077D02 (room 0x0c),door 0x1c640c (preset 0x0042)
-611,-452,wall of tile 077D02 (room 0x0c),door 0x1c640c (preset 0x0042)
-611,-452,wall of tile 077D02 (room 0x0c),door 0x1c640c (preset 0x0042)
-717,-463,wall of tile 077D01 (room 0x0c),door 0x1c640c (preset 0x0042)
-717,-463,wall of tile 077D01 (room 0x0c),door 0x1c640c (preset 0x0042)
-717,-463,wall of tile 077D01 (room 0x0c),door 0x1c640c (preset 0x0042)
-478,-452,wall of tile 020F00 (room 0x0c),door 0x1c660c (preset 0x0044)
-372,-452,wall of tile 020D00 (room 0x0c),door 0x1c660c (preset 0x0044)
-372,-452,wall of tile 020D00 (room 0x0c),door 0x1c660c (preset 0x0044)
-359,-452,wall of tile 020D00 (room 0x0c),door 0x1c670c (preset 0x0045)
-372,-463,wall of tile 079402 (room 0x0c),door 0x1c660c (preset 0x0044)
-372,-452,wall of tile 079402 (room 0x0c),door 0x1c660c (preset 0x0044)
-372,-452,wall of tile 079402 (room 0x0c),door 0x1c660c (preset 0x0044)
-478,-463,wall of tile 079401 (room 0x0c),door 0x1c660c (preset 0x0044)
-478,-463,wall of tile 079401 (room 0x0c),door 0x1c660c (preset 0x0044)
-478,-463,wall of tile 079401 (room 0x0c),door 0x1c660c (preset 0x0044)
-359,-463,wall of tile 077F01 (room 0x0c),door 0x1c670c (preset 0x0045)
-359,-463,wall of tile 077F01 (room 0x0c),door 0x1c670c (preset 0x0045)
-359,-463,wall of tile 077F01 (room 0x0c),door 0x1c670c (preset 0x0045)
-598,-463,wall of tile 077C01 (room 0x0c),door 0x1c650c (preset 0x0043)
-598,-463,wall of tile 077C01 (room 0x0c),door 0x1c650c (preset 0x0043)
-598,-463,wall of tile 077C01 (room 0x0c),door 0x1c650c (preset 0x0043)
-558,331,wall of tile 078601 (room 0x0c),door 0x1c6b0c (preset 0x0049)
-558,331,wall of tile 078601 (room 0x0c),door 0x1c6b0c (preset 0x0049)
-558,331,wall of tile 078601 (room 0x0c),door 0x1c6b0c (preset 0x0049)
-319,331,wall of tile 078401 (room 0x0c),door 0x1c690c (preset 0x0047)
-319,331,wall of tile 078401 (room 0x0c),door 0x1c690c (preset 0x0047)
-319,331,wall of tile 078401 (room 0x0c),door 0x1c690c (preset 0x0047)
-704,-359,wall of tile 013830 (room 0x47),door 0x1c740c (preset 0x004f)
870,1606,generic 0x1ca13c (preset 0x00d0),generic 0x1ca34c (preset 0x00d2)
864,1630,generic 0x1ca13c (preset 0x00d0),generic 0x1ca34c (preset 0x00d2)
907,1585,generic 0x1ca13c (preset 0x00d0),generic 0x1ca34c (preset 0x00d2)
940,1594,generic 0x1ca13c (preset 0x00d0),generic 0x1ca34c (preset 0x00d2)
966,1638,generic 0x1ca13c (preset 0x00d0),generic 0x1ca34c (preset 0x00d2)
962,1650,generic 0x1ca13c (preset 0x00d0),generic 0x1ca34c (preset 0x00d2)
899,1687,generic 0x1ca13c (preset 0x00d0),generic 0x1ca34c (preset 0x00d2)
896,1686,generic 0x1ca13c (preset 0x00d0),generic 0x1ca34c (preset 0x00d2)
650,739,generic 0x1ca658 (preset 0x00d5),generic 0x1ca970 (preset 0x00d8)
650,778,generic 0x1ca658 (preset 0x00d5),generic 0x1ca970 (preset 0x00d8)
592,788,generic 0x1ca658 (preset 0x00d5),generic 0x1ca970 (preset 0x00d8)
573,788,generic 0x1ca658 (preset 0x00d5),generic 0x1ca970 (preset 0x00d8)
7264,315,generic 0x1cab7c (preset 0x00da),generic 0x1cad8c (preset 0x00dc)
7251,364,generic 0x1cab7c (preset 0x00da),generic 0x1cad8c (preset 0x00dc)
7288,301,generic 0x1cab7c (preset 0x00da),generic 0x1cad8c (preset 0x00dc)
7316,308,generic 0x1cab7c (preset 0x00da),generic 0x1cad8c (preset 0x00dc)
7341,352,generic 0x1cab7c (preset 0x00da),generic 0x1cad8c (preset 0x00dc)
7336,370,generic 0x1cab7c (preset 0x00da),generic 0x1cad8c (preset 0x00dc)
7300,391,generic 0x1cab7c (preset 0x00da),generic 0x1cad8c (preset 0x00dc)
7261,381,generic 0x1cab7c (preset 0x00da),generic 0x1cad8c (preset 0x00dc)
7346,435,generic 0x1cae90 (preset 0x00dd),generic 0x1cb098 (preset 0x00df)
7248,529,generic 0x1cae90 (preset 0x00dd),generic 0x1cb098 (preset 0x00df)
207,325,generic 0x1cb1a0 (preset 0x00e0),generic 0x1cb2a8 (preset 0x00e1)
211,332,generic 0x1cb1a0 (preset 0x00e0),generic 0x1cb2a8 (preset 0x00e1)
6846,3301,gas_container 0x1cbb90 (preset 0x00f9),gas_container 0x1cbd40 (preset 0x00fc)
7006,3301,gas_container 0x1cbb90 (preset 0x00f9),gas_container 0x1cbd40 (preset 0x00fc)
2225,-599,monitor 0x1cd760 (preset 0x2734),generic 0x1cd860 (preset 0x2735)
2123,-599,monitor 0x1cd760 (preset 0x2734),generic 0x1cd860 (preset 0x2735)
2225,-527,generic 0x1cd860 (preset 0x2735),generic 0x1cd8e0 (preset 0x2736)
2123,-527,generic 0x1cd860 (preset 0x2735),generic 0x1cd8e0 (preset 0x2736)
7703,1417,generic 0x1cdf90 (preset 0x2742),generic 0x1ce010 (preset 0x2743)
7804,1418,generic 0x1cdf90 (preset 0x2742),generic 0x1ce010 (preset 0x2743)
6854,3107,generic 0x1ce220 (preset 0x2746),generic 0x1ce2a0 (preset 0x2747)
6855,3006,generic 0x1ce220 (preset 0x2746),generic 0x1ce2a0 (preset 0x2747)
6641,3106,monitor 0x1ce330 (preset 0x2748),generic 0x1ce430 (preset 0x2749)
6642,3005,monitor 0x1ce330 (preset 0x2748),generic 0x1ce430 (preset 0x2749)
8503,3005,generic 0x1ce4b0 (preset 0x274a),monitor 0x1ce540 (preset 0x274b)
8502,3106,generic 0x1ce4b0 (preset 0x274a),monitor 0x1ce540 (preset 0x274b)
8716,3006,generic 0x1ce640 (preset 0x274c),generic 0x1ce6c0 (preset 0x274d)
8715,3107,generic 0x1ce640 (preset 0x274c),generic 0x1ce6c0 (preset 0x274d)
6934,1332,monitor 0x1ce750 (preset 0x274e),generic 0x1ce850 (preset 0x274f)
7035,1332,monitor 0x1ce750 (preset 0x274e),generic 0x1ce850 (preset 0x274f)
6934,1545,generic 0x1ce8d0 (preset 0x2750),monitor 0x1ce960 (preset 0x2751)
7035,1545,generic 0x1ce8d0 (preset 0x2750),monitor 0x1ce960 (preset 0x2751)
1356,123,generic 0x1cea60 (preset 0x2725),generic 0x1ceae0 (preset 0x2726)
1275,123,generic 0x1cea60 (preset 0x2725),generic 0x1ceae0 (preset 0x2726)
1356,193,generic 0x1ceae0 (preset 0x2726),generic 0x1ceb60 (preset 0x2727)
1275,193,generic 0x1ceae0 (preset 0x2726),generic 0x1ceb60 (preset 0x2727)
1275,403,generic 0x1cece0 (preset 0x272a),generic 0x1ced60 (preset 0x272b)
1356,403,generic 0x1cece0 (preset 0x272a),generic 0x1ced60 (preset 0x272b)
1885,403,generic 0x1cee60 (preset 0x272d),generic 0x1ceee0 (preset 0x272e)
1966,403,generic 0x1cee60 (preset 0x272d),generic 0x1ceee0 (preset 0x272e)
1885,193,generic 0x1cefe0 (preset 0x2730),generic 0x1cf060 (preset 0x2731)
1966,193,generic 0x1cefe0 (preset 0x2730),generic 0x1cf060 (preset 0x2731)
1885,123,generic 0x1cf060 (preset 0x2731),generic 0x1cf0e0 (preset 0x2732)
1966,123,generic 0x1cf060 (preset 0x2731),generic 0x1cf0e0 (preset 0x2732)
